number,value,params_activation,params_epochs,params_lr,params_optimizer,params_units,state
9,0.9309359788894653,relu,74,0.004445149773521521,Ftrl,294,COMPLETE
7,0.928604245185852,sigmoid,21,2.0283210584867326e-05,Adam,648,COMPLETE
1,0.9214121699333191,sigmoid,85,2.0223586691612554e-06,Lion,133,COMPLETE
6,0.9184236526489258,tanh,76,0.0009444809195879357,Ftrl,84,COMPLETE
46,0.913103461265564,relu,74,0.0005484061695755793,Ftrl,143,COMPLETE
24,0.8622660040855408,relu,10,0.0003610647755656315,Lion,259,COMPLETE
57,0.8573727607727051,relu,80,0.000305655058094999,Ftrl,403,COMPLETE
90,0.8547455072402954,relu,10,3.1003524203803914e-05,Lion,204,COMPLETE
28,0.7809524536132812,relu,68,1.116687324435774e-06,RMSprop,34,COMPLETE
39,0.7504104971885681,relu,70,5.4389088017417855e-06,Ftrl,236,COMPLETE
27,0.6341543793678284,relu,52,0.0002761174536106001,Ftrl,215,COMPLETE
70,0.5103448629379272,relu,73,0.018940146073234097,RMSprop,431,COMPLETE
58,0.5047619342803955,relu,75,0.06154777627968349,Lion,465,COMPLETE
75,0.5,relu,82,1.0965588799185787e-05,Ftrl,271,COMPLETE
8,0.5,tanh,66,0.0020115165886849715,RMSprop,68,COMPLETE
89,0.5,relu,45,9.985604268040468e-05,Ftrl,309,COMPLETE
10,0.4965517222881317,relu,100,0.05976811983681255,Adam,619,COMPLETE
17,0.4965517222881317,relu,72,0.005436607764545321,Lion,249,COMPLETE
