number,value,params_dropout_rate,params_epochs,params_lr,params_optimizer,state
4,0.989737331867218,0.13791472786991146,42,0.04383880113158397,Lion,COMPLETE
1,0.9530479311943054,0.1391411800672156,17,0.007812060227490544,Ftrl,COMPLETE
3,0.8969621658325195,0.3887928840845585,22,0.00033558271292571766,Adam,COMPLETE
2,0.8482655882835388,0.14193328188438514,18,0.00018428858371065374,Lion,COMPLETE
0,0.80777907371521,0.470913589582867,45,6.701818898391234e-05,RMSprop,COMPLETE
