number,value,params_n_estimators,state
1,10505320.790051203,150,COMPLETE
8,10518069.556059994,200,COMPLETE
6,10549630.4406537,100,COMPLETE
3,10559236.316975875,180,COMPLETE
2,10621926.481130186,100,COMPLETE
5,10645784.301186003,50,COMPLETE
7,10712040.771764878,40,COMPLETE
4,10749607.055813737,30,COMPLETE
9,10835825.223709304,20,COMPLETE
0,11255667.395912578,10,COMPLETE
